#packet;SourceIP;UDP_Port_Destination;CoAP_Resource;Message_ID;attack
1;;;;;0
2;;;;;0
3;192.168.56.1;5683;www.inrow13.gal/1;63513;0
4;;;;;0
5;;;;;0
6;;;;;0
7;192.168.56.2;5683;www.inrow13.gal/1;4047;0
8;192.168.56.1;5683;www.inrow13.gal/2;63514;0
9;192.168.56.2;5683;www.inrow13.gal/2;21921;0
10;192.168.56.1;5683;www.inrow13.gal/3;63515;0
11;192.168.56.2;5683;www.inrow13.gal/3;45565;0
12;192.168.56.1;5683;www.inrow13.gal/4;63516;0
13;192.168.56.2;5683;www.inrow13.gal/4;65061;0
14;;;;;0
15;;;;;0
16;192.168.56.1;5683;www.inrow15.gal/1;63517;0
17;;;;;0
18;;;;;0
19;;;;;0
20;192.168.56.3;5683;www.inrow15.gal/1;52805;0
21;192.168.56.1;5683;www.inrow15.gal/2;63518;0
22;192.168.56.3;5683;www.inrow15.gal/2;53049;0
23;192.168.56.1;5683;www.inrow15.gal/3;63519;0
24;192.168.56.3;5683;www.inrow15.gal/3;43668;0
25;192.168.56.1;5683;www.inrow15.gal/4;63520;0
26;192.168.56.3;5683;www.inrow15.gal/4;11408;0
27;;;;;0
28;;;;;0
29;192.168.56.1;5683;www.inrow23.gal/1;63521;0
30;;;;;0
31;;;;;0
32;;;;;0
33;192.168.56.4;5683;www.inrow23.gal/1;49933;0
34;192.168.56.1;5683;www.inrow23.gal/2;63522;0
35;192.168.56.4;5683;www.inrow23.gal/2;63096;0
36;192.168.56.1;5683;www.inrow23.gal/3;63523;0
37;192.168.56.4;5683;www.inrow23.gal/3;49130;0
38;192.168.56.1;5683;www.inrow23.gal/4;63524;0
39;192.168.56.4;5683;www.inrow23.gal/4;44232;0
40;;;;;0
41;;;;;0
42;192.168.56.1;5683;www.inrow25.gal/1;63525;0
43;;;;;0
44;;;;;0
45;;;;;0
46;192.168.56.5;5683;www.inrow25.gal/1;60522;0
47;192.168.56.1;5683;www.inrow25.gal/2;63526;0
48;192.168.56.5;5683;www.inrow25.gal/2;49035;0
49;192.168.56.1;5683;www.inrow25.gal/3;63527;0
50;192.168.56.5;5683;www.inrow25.gal/3;43169;0
